station_id,station_name,river_name,longitude,latitude,forecast_issue_date,valid_time,total_members,threshold_bankfull,threshold_moderate,threshold_severe,bankfull_exceeding,moderate_exceeding,severe_exceeding,bankfull_percentage,moderate_percentage,severe_percentage
32,Limpopo_em_Mapai,Limpopo,31.925,-22.825,2/28/14,3/1/14,50,985.165442,4256.715563,6128.158339,22,0,0,0.44,0,0
32,Limpopo_em_Mapai,Limpopo,31.925,-22.825,2/28/14,3/2/14,50,985.165442,4256.715563,6128.158339,12,0,0,0.24,0,0
32,Limpopo_em_Mapai,Limpopo,31.925,-22.825,2/28/14,3/3/14,50,985.165442,4256.715563,6128.158339,14,0,0,0.28,0,0
32,Limpopo_em_Mapai,Limpopo,31.925,-22.825,2/28/14,3/4/14,50,985.165442,4256.715563,6128.158339,14,0,0,0.28,0,0
32,Limpopo_em_Mapai,Limpopo,31.925,-22.825,2/28/14,3/5/14,50,985.165442,4256.715563,6128.158339,25,0,0,0.5,0,0
32,Limpopo_em_Mapai,Limpopo,31.925,-22.825,2/28/14,3/6/14,50,985.165442,4256.715563,6128.158339,29,0,0,0.58,0,0
32,Limpopo_em_Mapai,Limpopo,31.925,-22.825,2/28/14,3/7/14,50,985.165442,4256.715563,6128.158339,22,0,0,0.44,0,0
33,Limpopo__Combomune,Limpopo,32.425,-23.475,2/28/14,3/1/14,50,383.495024,4238.880464,5839.625824,40,10,1,0.8,0.2,0.02
33,Limpopo__Combomune,Limpopo,32.425,-23.475,2/28/14,3/2/14,50,383.495024,4238.880464,5839.625824,32,18,1,0.64,0.36,0.02
33,Limpopo__Combomune,Limpopo,32.425,-23.475,2/28/14,3/3/14,50,383.495024,4238.880464,5839.625824,28,22,1,0.56,0.44,0.02
33,Limpopo__Combomune,Limpopo,32.425,-23.475,2/28/14,3/4/14,50,383.495024,4238.880464,5839.625824,18,13,1,0.36,0.26,0.02
33,Limpopo__Combomune,Limpopo,32.425,-23.475,2/28/14,3/5/14,50,383.495024,4238.880464,5839.625824,0,0,0,0,0,0
33,Limpopo__Combomune,Limpopo,32.425,-23.475,2/28/14,3/6/14,50,383.495024,4238.880464,5839.625824,0,0,0,0,0,0
33,Limpopo__Combomune,Limpopo,32.425,-23.475,2/28/14,3/7/14,50,383.495024,4238.880464,5839.625824,0,0,0,0,0,0
35,Limpopo_em_Chokwe,Limpopo,33.025,-24.525,2/28/14,3/1/14,50,1187.666264,4797.012057,6356.340579,50,17,5,1,0.34,0.1
35,Limpopo_em_Chokwe,Limpopo,33.025,-24.525,2/28/14,3/2/14,50,1187.666264,4797.012057,6356.340579,48,16,19,0.96,0.32,0.38
35,Limpopo_em_Chokwe,Limpopo,33.025,-24.525,2/28/14,3/3/14,50,1187.666264,4797.012057,6356.340579,47,18,19,0.94,0.36,0.38
35,Limpopo_em_Chokwe,Limpopo,33.025,-24.525,2/28/14,3/4/14,50,1187.666264,4797.012057,6356.340579,49,22,25,0.98,0.44,0.5
35,Limpopo_em_Chokwe,Limpopo,33.025,-24.525,2/28/14,3/5/14,50,1187.666264,4797.012057,6356.340579,10,8,10,0.2,0.16,0.2
35,Limpopo_em_Chokwe,Limpopo,33.025,-24.525,2/28/14,3/6/14,50,1187.666264,4797.012057,6356.340579,0,0,0,0,0,0
35,Limpopo_em_Chokwe,Limpopo,33.025,-24.525,2/28/14,3/7/14,50,1187.666264,4797.012057,6356.340579,0,0,0,0,0,0
36,Limpopo_em_Sicacate,Limpopo,33.525,-24.725,2/28/14,3/1/14,50,426.607727,2594.874032,3953.142422,0,0,0,0,0,0
36,Limpopo_em_Sicacate,Limpopo,33.525,-24.725,2/28/14,3/2/14,50,426.607727,2594.874032,3953.142422,0,0,0,0,0,0
36,Limpopo_em_Sicacate,Limpopo,33.525,-24.725,2/28/14,3/3/14,50,426.607727,2594.874032,3953.142422,28,19,10,0.56,0.38,0.2
36,Limpopo_em_Sicacate,Limpopo,33.525,-24.725,2/28/14,3/4/14,50,426.607727,2594.874032,3953.142422,44,10,17,0.88,0.2,0.34
36,Limpopo_em_Sicacate,Limpopo,33.525,-24.725,2/28/14,3/5/14,50,426.607727,2594.874032,3953.142422,28,8,19,0.56,0.16,0.38
36,Limpopo_em_Sicacate,Limpopo,33.525,-24.725,2/28/14,3/6/14,50,426.607727,2594.874032,3953.142422,0,0,0,0,0,0
36,Limpopo_em_Sicacate,Limpopo,33.525,-24.725,2/28/14,3/7/14,50,426.607727,2594.874032,3953.142422,0,0,0,0,0,0
47,franca,Save,34.525,-21.125,2/28/14,3/1/14,50,3305,6335,8702,0,0,0,0,0,0
47,franca,Save,34.525,-21.125,2/28/14,3/2/14,50,3305,6335,8702,0,0,0,0,0,0
47,franca,Save,34.525,-21.125,2/28/14,3/3/14,50,3305,6335,8702,29,17,44,0.58,0.34,0.88
47,franca,Save,34.525,-21.125,2/28/14,3/4/14,50,3305,6335,8702,22,21,17,0.44,0.42,0.34
47,franca,Save,34.525,-21.125,2/28/14,3/5/14,50,3305,6335,8702,18,28,22,0.36,0.56,0.44
47,franca,Save,34.525,-21.125,2/28/14,3/6/14,50,3305,6335,8702,0,0,0,0,0,0
47,franca,Save,34.525,-21.125,2/28/14,3/7/14,50,3305,6335,8702,0,0,0,0,0,0
86,massangena,Save,32.975,-21.525,2/28/14,3/1/14,50,3392,5450,6550,0,0,0,0,0,0
86,massangena,Save,32.975,-21.525,2/28/14,3/2/14,50,3392,5450,6550,0,0,0,0,0,0
86,massangena,Save,32.975,-21.525,2/28/14,3/3/14,50,3392,5450,6550,18,22,7,0.36,0.44,0.14
